,SSII,SSII+Mn,SSIII,SSIV,MMLV,TGIRT,AMV
32,2.0,4.0,2.0,5.0,6.0,5.0,1.0
33,5.0,1.0,10.0,7.0,11.0,0.0,1.0
34,5.0,3.0,4.0,9.0,6.0,4.0,1.0
35,6.0,0.0,7.0,18.0,2.0,4.0,3.0
36,8.0,2.0,11.0,11.0,3.0,7.0,0.0
37,3.0,5.0,6.0,5.0,10.0,6.0,0.0
38,15.0,5.0,12.0,18.0,22.0,12.0,9.0
39,26.0,5.0,25.0,9.0,42.0,12.0,25.0
40,27.0,5.0,25.0,23.0,40.0,13.0,21.0
41,62.0,3.0,64.0,47.0,92.0,10.0,4.0
42,55.0,4.0,74.0,20.0,63.0,9.0,3.0
43,74.0,10.0,79.0,32.0,52.0,12.0,2.0
44,70.0,26.0,59.0,30.0,69.0,20.0,2.0
45,39.0,15.0,44.0,36.0,54.0,23.0,2.0
46,50.0,16.0,67.0,25.0,93.0,16.0,4.0
47,75.0,26.0,57.0,77.0,92.0,26.0,10.0
48,35.0,22.0,25.0,99.0,14.0,32.0,3.0
49,14.0,34.0,21.0,78.0,22.0,40.0,5.0
50,22.0,17.0,18.0,44.0,2.0,35.0,1.0
51,14.0,18.0,6.0,54.0,5.0,29.0,2.0
52,5.0,15.0,8.0,39.0,8.0,31.0,1.0
53,16.0,18.0,11.0,66.0,19.0,33.0,14.0
54,22.0,13.0,21.0,58.0,37.0,23.0,26.0
55,12.0,11.0,11.0,42.0,42.0,28.0,3.0
56,35.0,3.0,23.0,45.0,40.0,24.0,3.0
57,40.0,12.0,36.0,38.0,27.0,25.0,2.0
58,18.0,6.0,18.0,39.0,18.0,28.0,4.0
59,35.0,15.0,25.0,51.0,30.0,37.0,2.0
60,19.0,9.0,21.0,39.0,16.0,37.0,2.0
61,15.0,4.0,10.0,27.0,27.0,41.0,3.0
62,9.0,10.0,11.0,28.0,16.0,27.0,2.0
63,5.0,7.0,7.0,24.0,4.0,29.0,1.0
64,4.0,9.0,2.0,24.0,2.0,18.0,0.0
65,1.0,3.0,1.0,27.0,2.0,18.0,0.0
66,0.0,2.0,0.0,18.0,0.0,26.0,4.0
67,0.0,8.0,1.0,21.0,2.0,26.0,1.0
68,2.0,3.0,1.0,14.0,3.0,21.0,1.0
69,0.0,3.0,0.0,14.0,1.0,22.0,0.0
70,1.0,0.0,2.0,10.0,1.0,14.0,0.0
71,0.0,0.0,0.0,11.0,0.0,11.0,0.0
72,2.0,0.0,0.0,10.0,0.0,21.0,0.0
73,2.0,0.0,1.0,6.0,1.0,22.0,2.0
74,1.0,0.0,1.0,4.0,1.0,13.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
